district,year,month,mean_modal_price,mean_min_price,mean_max_price,mean_price_spread,mean_arrivals,reporting_days,is_imputed
Jhansi,2023,11,2429.8507462686566,2384.3283582089553,2480.7462686567164,96.41791044776119,,27,0
Jhansi,2023,12,2395.5,2339.5,2445.0,105.5,,28,0
Jhansi,2024,1,2396.5,2338.1666666666665,2444.1666666666665,106.0,,19,0
Jhansi,2024,2,2420.5263157894738,2350.0,2468.4210526315787,118.42105263157873,,24,0
Jhansi,2024,3,2427.2972972972975,2362.162162162162,2476.6216216216217,114.4594594594596,,23,0
Jhansi,2024,4,2384.4155844155844,2337.6623376623374,2439.090909090909,101.42857142857156,,29,0
Jhansi,2024,5,2373.6938775510203,2320.408163265306,2416.377551020408,95.96938775510216,,29,0
Jhansi,2024,6,2460.774647887324,2403.0985915492956,2505.6338028169016,102.53521126760597,,28,0
Jhansi,2024,7,2458.9473684210525,2400.7236842105262,2497.8947368421054,97.17105263157919,,31,0
Jhansi,2024,8,2532.090909090909,2476.818181818182,2576.818181818182,100.0,,27,0
Jhansi,2024,9,2569.8387096774195,2496.1290322580644,2604.5967741935483,108.4677419354839,,30,0
Jhansi,2024,10,2653.4545454545455,2586.818181818182,2691.6363636363635,104.81818181818153,,27,0
Jhansi,2024,11,2724.3023255813955,2656.046511627907,2761.9767441860463,105.93023255813932,,22,0
Jhansi,2024,12,2765.8064516129034,2705.8064516129034,2808.548387096774,102.74193548387075,,19,0
Jhansi,2025,1,2897.279411764706,2836.9117647058824,2948.3823529411766,111.47058823529414,,30,0
Jhansi,2025,2,2903.9423076923076,2806.730769230769,2992.3076923076924,185.57692307692332,,24,0
Jhansi,2025,3,2738.4523809523807,2645.9523809523807,2830.8333333333335,184.88095238095275,,22,0
Jhansi,2025,4,2538.53125,2488.046875,2568.515625,80.46875,,28,0
Jhansi,2025,5,2545.8035714285716,2474.7321428571427,2585.0,110.26785714285734,,25,0
Jhansi,2025,6,2543.8596491228072,2492.280701754386,2590.964912280702,98.68421052631584,,29,0
Jhansi,2025,7,2541.159420289855,2472.0289855072465,2622.8985507246375,150.86956521739103,,29,0
Jhansi,2025,8,2549.375,2487.8125,2630.9375,143.125,,29,0
Jhansi,2025,9,2538.1609195402298,2476.609195402299,2615.114942528736,138.50574712643675,,27,0
Jhansi,2025,10,2528.301886792453,2463.396226415094,2609.433962264151,146.03773584905684,,24,0
Jhansi,2025,11,2528.301886792453,2463.396226415094,2609.433962264151,146.03773584905684,,0,1
Jhansi,2025,12,2528.301886792453,2463.396226415094,2609.433962264151,146.03773584905684,,0,1
Jyotiba Phule Nagar,2006,1,880.5263157894736,873.9473684210526,888.6842105263158,14.736842105263236,,19,0
Jyotiba Phule Nagar,2006,2,939.65,933.6,946.1,12.5,,20,0
Jyotiba Phule Nagar,2006,3,950.9230769230769,947.5769230769231,954.8846153846154,7.307692307692264,,26,0
Jyotiba Phule Nagar,2006,4,746.625,741.3333333333334,752.7083333333334,11.375,,24,0
Jyotiba Phule Nagar,2006,5,789.8695652173913,784.5652173913044,797.304347826087,12.739130434782624,,23,0
Jyotiba Phule Nagar,2006,6,801.6521739130435,794.75,803.8571428571429,9.10714285714289,,25,0
Jyotiba Phule Nagar,2006,7,804.4074074074074,799.8148148148148,810.2222222222222,10.40740740740739,,27,0
Jyotiba Phule Nagar,2006,8,859.5769230769231,856.4117647058823,865.7058823529412,9.294117647058897,,27,0
Jyotiba Phule Nagar,2006,9,952.3913043478261,948.3478260869565,957.695652173913,9.347826086956502,,23,0
Jyotiba Phule Nagar,2006,10,964.7142857142857,958.4090909090909,966.6818181818181,8.272727272727252,,21,0
Jyotiba Phule Nagar,2006,11,1043.8235294117646,1038.4705882352941,1050.5294117647059,12.058823529411711,,17,0
Jyotiba Phule Nagar,2006,12,1054.8095238095239,1051.2857142857142,1058.7619047619048,7.476190476190595,,21,0
Jyotiba Phule Nagar,2007,1,1047.4,1043.4,1054.0,10.599999999999909,,5,0
Jyotiba Phule Nagar,2007,2,1044.009523809524,1039.370634920635,1050.813492063492,11.442857142857065,,0,1
Jyotiba Phule Nagar,2007,3,1040.6190476190477,1035.3412698412699,1047.626984126984,12.28571428571422,,0,1
