district,year,month,rainfall_monthly,SPI1,SPI3
Bulandshahr,1975,7,214.9126,0.2950087824962144,0.5763570145651159
Bulandshahr,1975,8,180.75732,0.04850958500039474,0.4103363682724974
Bulandshahr,1975,9,307.81207,1.6160377722733157,1.0425617945098742
Bulandshahr,1975,10,16.094284,0.4818143490970437,1.0238055906407426
Bulandshahr,1975,11,0.0,0.0,1.501345874773453
Bulandshahr,1975,12,0.0,-0.38532046640756773,0.06790767623244466
Bulandshahr,1976,1,0.35715804,-0.9646428002707148,-1.8179975608715286
Bulandshahr,1976,2,25.86975,0.781550415448278,0.08604187818973083
Bulandshahr,1976,3,3.6152897,-0.1581654342846103,-0.030485815706313774
Bulandshahr,1976,4,5.3319707,0.6785545219559119,0.4020077767699818
Bulandshahr,1976,5,9.994316,0.08844171495109608,-0.24347360636250548
Bulandshahr,1976,6,54.054264,0.28279676208427573,0.1419409249347543
Bulandshahr,1976,7,200.6626,0.17540266426578277,0.10163381554712099
Bulandshahr,1976,8,212.6707,0.30923349841061093,0.178102985048713
Bulandshahr,1976,9,31.325933,-0.8704630704743085,-0.29048242345903635
Bulandshahr,1976,10,0.0,-0.7835003753897741,-0.3664761180804592
Bulandshahr,1976,11,0.28229475,0.18351427849271462,-1.1001595226101255
Bulandshahr,1976,12,1.5478036,0.09718083434595408,-0.9183660641850689
Bulandshahr,1977,1,15.020992,0.581441465051134,0.17559143954983472
Bulandshahr,1977,2,0.0,-0.9027347916438648,-0.303029435189743
Bulandshahr,1977,3,0.0,-0.9674215661017012,-0.6852117360031159
Bulandshahr,1977,4,21.08976,1.9087229031813013,-0.13695316964012885
Bulandshahr,1977,5,23.089027,0.7122569420315225,0.6944881520189333
Bulandshahr,1977,6,45.42297,0.10095644473354874,0.49095523236059113
Bulandshahr,1977,7,366.25882,1.3274729551926132,1.1593967066147048
Bulandshahr,1977,8,94.19396,-0.8715026554132047,0.4088996113877569
Bulandshahr,1977,9,142.70703,0.5630861215377768,0.5721541539509162
Bulandshahr,1977,10,14.959118,0.44519384990238087,-0.31249752687834265
Bulandshahr,1977,11,0.0,0.0,0.47823917094642104
Bulandshahr,1977,12,5.5248675,0.554199596850825,0.23032330095765916
Bulandshahr,1978,1,8.228093,0.1475246710198639,-0.0007710662721066686
Bulandshahr,1978,2,21.382273,0.6189335532473529,0.36617001206742017
Bulandshahr,1978,3,31.263657,1.2494213144932704,0.8172180234734585
Bulandshahr,1978,4,7.0166864,0.8669302285196908,1.0922882124861666
Bulandshahr,1978,5,0.0,-1.5010859460440247,0.5167069336982766
Bulandshahr,1978,6,170.49258,1.8053852615328705,1.5931294827512583
Bulandshahr,1978,7,266.93445,0.6917212203683426,1.17355581429925
Bulandshahr,1978,8,282.2658,0.7989040062688231,1.5169655135990119
Bulandshahr,1978,9,101.00858,0.17518265873215336,0.7986687210579415
Bulandshahr,1978,10,1.8907768,-0.2574973309929977,0.4666128107309507
Bulandshahr,1978,11,1.8814646,0.5804779868325148,0.0017757078051753722
Bulandshahr,1978,12,10.815491,0.9341621035171783,0.005539556690609884
Bulandshahr,1979,1,49.39034,1.8166785245608952,1.663294208456588
Bulandshahr,1979,2,12.032874,0.20277105192838815,1.192860947146428
Bulandshahr,1979,3,20.036644,0.8497032736261176,1.2289271648827316
Bulandshahr,1979,4,0.42439416,-0.26653692262838174,0.3224506521075499
Bulandshahr,1979,5,1.1000633,-0.9033731846404144,-0.11594587160084686
Bulandshahr,1979,6,27.216608,-0.38051469146976985,-0.8662437080747935
Bulandshahr,1979,7,294.39926,0.8809453588380881,0.5024935490116008
Bulandshahr,1979,8,40.476433,-1.8351450695532985,-0.526483785823027
Bulandshahr,1979,9,20.708794,-1.1679146093611825,-0.8706321389905921
Bulandshahr,1979,10,3.4615648,-0.10604598558100892,-2.232569242762329
Bulandshahr,1979,11,2.2998765,0.6537223452908056,-1.235391866488904
Bulandshahr,1979,12,9.227783,0.8332360442534444,0.02255699979543411
Bulandshahr,1980,1,5.561572,-0.08480312577743744,0.18821452435778507
Bulandshahr,1980,2,4.617915,-0.2866367274752301,-0.17548675468941388
Bulandshahr,1980,3,29.093737,1.1796545149850832,0.272433083920723
Bulandshahr,1980,4,0.0,-0.5729675484954635,0.364608986976189
Bulandshahr,1980,5,0.5540161,-1.0818009425336124,0.22041160598832654
Bulandshahr,1980,6,97.51832,0.9855459532433288,0.6216282159216987
Bulandshahr,1980,7,235.11336,0.45585865828857786,0.5696454735266714
Bulandshahr,1980,8,181.7695,0.057233960865023796,0.45843644279090945
Bulandshahr,1980,9,74.50615,-0.13217490695047227,-0.01731135359989594
Bulandshahr,1980,10,11.696372,0.32945150148376345,-0.20539070106178178
Bulandshahr,1980,11,0.0,0.0,-0.2046861972599481
Bulandshahr,1980,12,21.029228,1.4486744458712892,0.5886144439757889
Bulandshahr,1981,1,13.378259,0.48983917696268603,0.9016835915300665
Bulandshahr,1981,2,4.4922857,-0.2975672332429985,0.47041114499900216
Bulandshahr,1981,3,14.419914,0.5979789305862437,0.05377355669122819
Bulandshahr,1981,4,0.0,-0.5729675484954635,-0.24329621489612435
Bulandshahr,1981,5,19.012821,0.5503171438216412,0.3565653790960382
Bulandshahr,1981,6,57.091465,0.34210377538878056,0.2647337037842781
Bulandshahr,1981,7,205.02419,0.21259606031637163,0.22056603052352458
Bulandshahr,1981,8,89.57555,-0.9352581203707026,-0.6032873399594026
Bulandshahr,1981,9,99.84527,0.16293205427491678,-0.6065914697466717
Bulandshahr,1981,10,0.047677644,-0.6821859758697116,-0.7783809435062522
Bulandshahr,1981,11,32.59526,2.884374958856958,0.2674998638230416
Bulandshahr,1981,12,1.531773,0.09449686225469432,0.6249398467967446
Bulandshahr,1982,1,18.15149,0.740450935391718,1.4232951007956585
Bulandshahr,1982,2,7.849209,-0.043582901878584546,0.1306979205008614
Bulandshahr,1982,3,62.661037,2.0467222063592967,1.357203173357469
Bulandshahr,1982,4,26.392412,2.1930292566621095,1.8421396069644074
Bulandshahr,1982,5,64.30586,1.7992446542657112,2.7111322616134688
Bulandshahr,1982,6,49.970886,0.19942502430584919,1.1869730573191295
